Region,ASTe,NASTe
1213,"Bad Kleinen, Blankenberg(Meckl)",Ventschow
1217,"Holthusen, Ludwigslust","Lüblow(Meckl), Rastow, Sülstorf"
1224,"Ludwigslust, Wittenberge","Grabow(Meckl), Karstädt"
1229,"Neustadt(Dosse), Wittenberge","Bad Wilsnack, Breddin, Glöwen"
1231,"Eberswalde Hbf, Wriezen","Altranft, Bad Freienwalde, Falkenberg(Mark), Niederfinow"
1232,"Pasewalk, Prenzlau",Nechlin
1233,"Grambow(Gr), Pasewalk","Grambow, Löcknitz, Pasewalk Ost, Zerrenthin"
1236,Rostock Hbf,"Broderstorf, Groß Lüsewitz, Roggentin, Sanitz(b Rostock), Tessin, Tessin West"
1305,Weimar,"Bad Berka, Bad Berka Zeughauspl, Hetschburg, Holzdorf(b Weimar), Kranichfeld, Legefeld, München(Bad Berka), Nohra(Weimar), Obergrunstedt, Tannroda,
Weimar Berkaer Bf, Weimar West"
1306,"Gera Hbf, Jena Saalbf, Rudolstadt(Thür), Weimar","Freienorla, Großschwabhausen, Hermsdorf-Klosterl, Jena-Göschwitz, Jena Paradies, Jena West, Kahla(Thür), Kraftsdorf, Langenorla Ost, Langenorla West,
Mellingen(Thür), Neue Schenke, Oberweimar, Orlamünde, Papiermühle(Stadtr), Pößneck unt Bf, Rothenstein(Saale), Stadtroda, Töppeln, Uhlstädt, Zeutsch"
1310,Sonneberg(Thür)Hbf,"Blechhammer(Thür), Ernstthal am Rennst, Hüttengrund, Lauscha(Thür), Neuhaus am Rennweg, Neuhaus-Igelshieb, Oberlauscha, Sonneberg(Thür)Nord,
Sonneberg(Thür)Ost, Steinach(Thür), Steinach(Thür)Süd"
1312,"Sonneberg(Thür)Hbf, Themar","Bachfeld, Effelder(Thür), Eisfeld, Harras(Thür), Hildburghausen, Mengersgereuth-H, Mengersgereuth-H Ost, Rauenstein(Thür), Reurieth, Schalkau, Schalkau
Mitte, Seltendorf, Sonneberg(Thür)West, Veilsdorf"
1315,"Eisenach, Gerstungen","Eisenach Opelwerk Hp, Eisenach West, Herleshausen Hp, Hörschel Hp"
1318,"Leinefelde, Nordhausen, Sondershausen","Bernterode, Bleicherode Ost, Gebra(Hainleite), Gernrode-N.erorschel, Glückauf, Großfurra, Hausen(Eichsfeld), Kleinfurra, Nohra(Wipper), Sollstedt,
Werther, Wipperdorf, Wolkramshausen"
1319,"Nordhausen, Walkenried","Ellrich, Niedersachswerfen, Nordhausen-Salza, Woffleben"
1321,"Eichenberg, Leinefelde","Arenshausen, Beuren, Bodenrode, Heilb. Heiligenstadt, Uder, Wingerode"
1322,"Hockeroda, Saalfeld(Saale)","Breternitz, Kaulsdorf(Saale)"
1323,"Saalfeld(Saale), Triptis","Könitz(Thür), Krölpa-Ranis, Neunhofen, Neustadt(Orla), Oppurg, Pößneck ob Bf, Unterwellenborn"
1324,"Rottenbach, Saalfeld(Saale)",Bad Blankenburg(Th)
1325,"Rudolstadt(Thür), Saalfeld(Saale)",Rudolstadt-Schwarza
1331,"Bad Schandau, Pirna","Königstein(S Schw), Kurort Rathen, Obervogelgesang, Stadt Wehlen(Sachs)"
1332,"Bad Schandau, Schöna(Gr)","Krippen, Schmilka-Hirschm, Schöna"
1340,"Blankenberg(Meckl), Güstrow, Rostock Hbf","Bützow, Huckstorf, Lüssow(Meckl), Mistorf, Papendorf, Pölchow, Schwaan"
1342,"Bad Kleinen, Schwerin Hbf",Lübstorf
1345,"Büchen, Holthusen","Boizenburg(Elbe), Brahlstorf, Hagenow Land, Kirch-Jesar, Pritzier, Schwanheide, Zachun"
1351,"Nauen, Neustadt(Dosse)","Friesack(Mark), Paulinenaue"
1358,"Hennigsdorf(b Bln), Löwenberg(Mark),
Neuruppin West","Altruppin, Bärenklau, Beetz-Sommerfeld, Gildenhall, Grieben(b Gransee), Herzberg(Mark), Kremmen, Lindow(Mark), Löwenberg Dorf, Neuruppin Rheinsb T,
Rheinsberg(Mark), Schwante, Vehlefanz, Velten(Mark), Wustrau-Radensleben"
1361,Flöha,"Annaberg-Buchholz M, Annaberg-Buchholz S, Annaberg-Buchh u Bf, Bärenstein(Annab), Cranzahl, Erdmannsd-Augustusb, Flöha-Plaue, Hennersdorf(Sachs),
Scharfenstein, Sehma, Thermalbad Wiesenbad, Vejprty(Gr), Waldkirchen(Erzgeb), Warmbad, Wiesa(Erzgebirge), Wilischthal, Witzschdorf, Wolkenstein,
Zschopau, Zschopau Ost"
1364,"Frankfurt(Oder), Fürstenwalde(Spree)","Berkenbrück, Briesen(Mark), Frankfurt(O)-Roseng, Jacobsdorf(Mark), Pillgram"
1365,Frankfurt(Oder),Frankfurt(Oder)(Gr)
